弹幕姬版本: 0.3.6
直播来源地址: https://cc.163.com/361433/
开始记录时间: 2022-01-25 19:59:32.379
视频地址: https://www.bilibili.com/video/BV18S4y1L74m
CID: [492832291, 493028267, 493010494, 492992404, 492983619]
时轴修正: [[3601, 70], [3611, 10], [3611, 10], [3611, 10], [2956, 10]]

==================================================
2022-01-25 20:04:30.294 - 00:04:57 - 地震之类的技能有定向吗
2022-01-25 20:04:33.830 - 00:05:01 - 被大牙狸给土死
2022-01-25 20:04:37.899 - 00:05:05 - 被榨干吧
2022-01-25 20:04:43.480 - 00:05:11 - 鼠鼠来了
2022-01-25 20:04:48.493 - 00:05:16 - 确实.
2022-01-25 20:04:51.539 - 00:05:19 - 直播间宝批浓度太高了
2022-01-25 20:04:56.584 - 00:05:24 - 确实
2022-01-25 20:05:02.126 - 00:05:29 - 食物链要逆转了
2022-01-25 20:05:03.189 - 00:05:30 - 特别篇是吧，上手先打训练师
2022-01-25 20:05:04.159 - 00:05:31 - yo
2022-01-25 20:05:05.671 - 00:05:33 - 阿尔宙斯里面宝可梦很大呢
2022-01-25 20:05:07.702 - 00:05:35 - 雀食
2022-01-25 20:05:11.747 - 00:05:39 - 阿尔宙斯有古代大牙狸吗？
2022-01-25 20:05:19.366 - 00:05:46 - 无差别对决！
2022-01-25 20:05:20.356 - 00:05:47 - 大鸭梨还是没变
2022-01-25 20:05:26.455 - 00:05:54 - 小秦二十八号通宵玩吗
2022-01-25 20:05:26.455 - 00:05:54 - 属鼠饶命
2022-01-25 20:05:28.483 - 00:05:56 - 刺尾虫有三分之人个人大
2022-01-25 20:05:52.795 - 00:06:20 - 听说这代阿尔宙斯能跟宝可梦结婚？
2022-01-25 20:05:54.805 - 00:06:22 - 靶场用游侠就行的  熟练度高点就好  单人都不难
2022-01-25 20:05:54.805 - 00:06:22 - 怎么在永劫无间分区啊
2022-01-25 20:05:56.856 - 00:06:24 - 27号凌晨就开始通吧
2022-01-25 20:06:02.362 - 00:06:29 - 小秦应该买的是日版吧第一时间解锁
2022-01-25 20:06:03.874 - 00:06:31 - 叔叔来了
2022-01-25 20:06:07.450 - 00:06:35 - 能用引夢貘人催眠对面的训练师吗
2022-01-25 20:06:07.450 - 00:06:35 - 游侠训练就行
2022-01-25 20:06:10.964 - 00:06:38 - 奎恩哥送兄弟呢
2022-01-25 20:06:11.486 - 00:06:39 - 这听说得也太离谱了吧
2022-01-25 20:06:18.548 - 00:06:46 - 宝可梦能和训练师结婚吗
2022-01-25 20:06:22.597 - 00:06:50 - 我只知道阿尔宙斯能开沙奈朵的大车
2022-01-25 20:06:26.653 - 00:06:54 - 那就离谱了
2022-01-25 20:06:28.668 - 00:06:56 - 结，都可以结
2022-01-25 20:06:34.729 - 00:07:02 - 只是能放出来一起走
2022-01-25 20:06:36.259 - 00:07:03 - 可以催眠海灘的大姐姐嗎
2022-01-25 20:06:41.830 - 00:07:09 - 奎恩哥有异种嘛
2022-01-25 20:06:46.903 - 00:07:14 - ?
2022-01-25 20:06:49.926 - 00:07:17 - 缺哥是不是今天播完直接摸到阿尔宙斯发售
2022-01-25 20:06:51.893 - 00:07:19 - 听说可以把宝可梦和女人融合
2022-01-25 20:06:52.931 - 00:07:20 - 白金里面不有书写说古代人和宝可梦结婚
2022-01-25 20:06:58.471 - 00:07:26 - 能跟八尺沙奈朵孵蛋吗？
2022-01-25 20:06:58.471 - 00:07:26 - 僵尸老厉害了
2022-01-25 20:07:00.984 - 00:07:28 - 别说了，越说越想买了
2022-01-25 20:07:04.029 - 00:07:31 - 蛋啊，带蛋的被动，用幽灵，wudi
2022-01-25 20:07:05.059 - 00:07:32 - ?
2022-01-25 20:07:07.072 - 00:07:34 - 生出来的会叫大哥哥吗
2022-01-25 20:07:07.570 - 00:07:35 - 食雪汉
2022-01-25 20:07:12.632 - 00:07:40 - 买呢买呢
2022-01-25 20:07:14.154 - 00:07:41 - 蛋啊
2022-01-25 20:07:14.702 - 00:07:42 - ？
2022-01-25 20:07:16.693 - 00:07:44 - 好会跑呢
2022-01-25 20:07:17.248 - 00:07:44 - 懦夫啊
2022-01-25 20:07:17.708 - 00:07:45 - 哈哈哈哈↑
2022-01-25 20:07:18.718 - 00:07:46 - 暗用幽灵的漂移 光用鼻涕虫就行 带个闪避做斩输出
2022-01-25 20:07:19.283 - 00:07:46 - 我在布里叮
2022-01-25 20:07:20.225 - 00:07:47 - 蛋壳，还有僵尸的被动吸血
2022-01-25 20:07:23.279 - 00:07:50 - 秦秦肯肯
2022-01-25 20:07:28.880 - 00:07:56 - 先有人还是先有宝可梦呢
2022-01-25 20:07:31.991 - 00:07:59 - 有没有一种可能，现代人是古代人和宝可梦生的后代
2022-01-25 20:07:36.014 - 00:08:03 - 阿尔卑斯那画面连大圣归来都不如吧，笑了
2022-01-25 20:07:39.060 - 00:08:06 - 正好过年实体卡不发货蛮难受的
2022-01-25 20:07:42.588 - 00:08:10 - 要装蛋的被动
2022-01-25 20:07:51.231 - 00:08:18 - 阿尔卑斯草
2022-01-25 20:07:54.792 - 00:08:22 - 数字版呢
2022-01-25 20:07:55.283 - 00:08:22 - 差不多通了 搞龙玩呢
2022-01-25 20:07:55.293 - 00:08:22 - 蛋壳，鬼魂的透明
2022-01-25 20:08:00.304 - 00:08:27 - 喵喵可以和女訓練家生出貓耳少女嗎
2022-01-25 20:08:03.885 - 00:08:31 - 阿尔卑斯的右上角关闭直播间
2022-01-25 20:08:09.936 - 00:08:37 - 是奥林匹斯
2022-01-25 20:08:10.977 - 00:08:38 - 偷跑哥评价很好，已经狠狠的当凯子了
2022-01-25 20:08:13.501 - 00:08:41 - 别用近战  魔宠智商低不破盾还妨碍走位
2022-01-25 20:08:20.082 - 00:08:47 - 想當凱子了
2022-01-25 20:08:24.654 - 00:08:52 - 说好的鼠鼠呢
2022-01-25 20:08:25.160 - 00:08:52 - ?
2022-01-25 20:08:25.161 - 00:08:52 - 阿尔萨斯
2022-01-25 20:08:25.162 - 00:08:52 - ？
2022-01-25 20:08:27.672 - 00:08:55 - 偷跑到底是哪买的
2022-01-25 20:08:29.724 - 00:08:57 - 黑 暗
2022-01-25 20:08:31.250 - 00:08:58 - 是 阿尔萨斯
2022-01-25 20:08:34.801 - 00:09:02 - 阿尔哈迪斯
2022-01-25 20:08:37.836 - 00:09:05 - SO DARK
2022-01-25 20:08:39.882 - 00:09:07 - 偷跑的都是破解的吧
2022-01-25 20:08:43.392 - 00:09:11 - 这代是不是速度快的宝可梦可以连续行动？
2022-01-25 20:08:43.392 - 00:09:11 - 阿尔卑斯
2022-01-25 20:08:46.441 - 00:09:14 - 黑暗用幽灵的无敌漂移
2022-01-25 20:08:46.442 - 00:09:14 - 偷跑的不多，大多数其实是dump破解哥
2022-01-25 20:08:46.956 - 00:09:14 - 锁
2022-01-25 20:08:49.978 - 00:09:17 - 剑！
2022-01-25 20:08:50.993 - 00:09:18 - 带蛋壳啊
2022-01-25 20:08:53.026 - 00:09:20 - 阿尔托莉雅
2022-01-25 20:08:54.020 - 00:09:21 - 国外有卡带偷跑的
2022-01-25 20:08:54.534 - 00:09:22 - 阿尔奎托斯的有吗
2022-01-25 20:08:59.049 - 00:09:26 - 我就是偷跑哥，只能说掌机画质很不戳
2022-01-25 20:09:00.070 - 00:09:27 - 阿迪达斯
2022-01-25 20:09:03.107 - 00:09:30 - ?
2022-01-25 20:09:04.618 - 00:09:32 - 笑了
2022-01-25 20:09:05.154 - 00:09:32 - 得把鬼魂连起来，他的透明躲陷阱破盾都好用
2022-01-25 20:09:08.173 - 00:09:35 - 阿迪达斯
2022-01-25 20:09:10.207 - 00:09:37 - 哈哈哈哈
2022-01-25 20:09:10.706 - 00:09:38 - 法正
2022-01-25 20:09:11.706 - 00:09:39 - 港版也有少量偷跑的了
2022-01-25 20:09:13.758 - 00:09:41 - 来点阿尔特留斯
2022-01-25 20:09:14.251 - 00:09:41 - 笑啦
2022-01-25 20:09:15.754 - 00:09:43 - 9999999
2022-01-25 20:09:16.760 - 00:09:44 - 999999
2022-01-25 20:09:19.326 - 00:09:46 - 草
2022-01-25 20:09:48.235 - 00:10:15 - ?
2022-01-25 20:09:52.772 - 00:10:20 - 9999是什么
2022-01-25 20:09:54.802 - 00:10:22 - 版友
2022-01-25 20:09:57.833 - 00:10:25 - 哈哈哈
2022-01-25 20:09:59.891 - 00:10:27 - 缺哥，把魔宠给其他回蓝快的带
2022-01-25 20:10:07.955 - 00:10:35 - ？
2022-01-25 20:10:22.661 - 00:10:50 - 好像看奎恩哥阿尔宙斯啊
2022-01-25 20:10:34.301 - 00:11:01 - 鼠鼠我啊
2022-01-25 20:10:39.851 - 00:11:07 - 还有2天就能看到了
2022-01-25 20:10:39.852 - 00:11:07 - 人不死，就不会死
2022-01-25 20:10:39.853 - 00:11:07 - 缺哥没发开播动态吗？
2022-01-25 20:10:43.931 - 00:11:11 - kksk
2022-01-25 20:10:45.406 - 00:11:13 - 奎恩哥有自己的想法
2022-01-25 20:10:47.946 - 00:11:15 - 带了能多抗两下
2022-01-25 20:10:48.482 - 00:11:16 - 不死就死不了
2022-01-25 20:11:01.067 - 00:11:28 - 别鼠鼠，我怕
2022-01-25 20:11:06.120 - 00:11:33 - ？
2022-01-25 20:11:06.628 - 00:11:34 - 光明人有黑暗剑吗
2022-01-25 20:11:10.727 - 00:11:38 - ?
