弹幕姬版本: 0.4.1
直播来源地址: https://cc.163.com/361433/
开始记录时间: 2022-10-21 20:06:39.964
视频地址: https://www.bilibili.com/video/BV1rg41187r1
CID: [868689834, 868671034, 868702187, 868702314, 868702421]
时轴修正: [[3001, -81], [3011, 10], [3011, 10], [3011, 10], [2932, 10]]

==================================================
2022-10-21 20:08:31.535 - 00:01:51 - 昨天看睡着了 COD还没通关吗
2022-10-21 20:08:33.562 - 00:01:53 - 保护什么啊
2022-10-21 20:08:34.573 - 00:01:54 - 草
2022-10-21 20:08:34.574 - 00:01:54 - 这是永杰物件吗
2022-10-21 20:08:34.574 - 00:01:54 - 保护保护
2022-10-21 20:08:36.614 - 00:01:56 - 笑了
2022-10-21 20:08:37.127 - 00:01:57 - 我看了
2022-10-21 20:08:37.618 - 00:01:57 - 顶针伪装
2022-10-21 20:08:40.220 - 00:02:00 - 骗自己是吧
2022-10-21 20:08:41.183 - 00:02:01 - 什么韦装啊这是？
2022-10-21 20:08:41.633 - 00:02:01 - 韦装乐
2022-10-21 20:08:43.177 - 00:02:03 - jiayou a qinchuan
2022-10-21 20:08:47.731 - 00:02:07 - 你的韦庄掉了
2022-10-21 20:08:49.788 - 00:02:09 - 对阿，我今早起床还看到天哥在播
2022-10-21 20:08:49.788 - 00:02:09 - 吸欧弟真爱粉
2022-10-21 20:08:50.786 - 00:02:10 - 播到7点半左右
2022-10-21 20:08:52.312 - 00:02:12 - 兄弟
2022-10-21 20:08:55.346 - 00:02:15 - 法拉眼睛也太大了
2022-10-21 20:08:56.382 - 00:02:16 - 他真的很爱吸欧帝
2022-10-21 20:08:59.404 - 00:02:19 - 茶宝也通宵通关了
2022-10-21 20:09:00.443 - 00:02:20 - 看看人家多敬业
2022-10-21 20:09:01.475 - 00:02:21 - 那你不也是七八点没起床
2022-10-21 20:09:04.002 - 00:02:24 - 经典
2022-10-21 20:09:04.483 - 00:02:24 - 西欧帝真爱粉
2022-10-21 20:09:04.484 - 00:02:24 - 反观
2022-10-21 20:09:08.040 - 00:02:28 - ?
2022-10-21 20:09:10.601 - 00:02:30 - ？
2022-10-21 20:09:10.602 - 00:02:30 - 西欧弟凯子
2022-10-21 20:09:10.603 - 00:02:30 - 燃尽了
2022-10-21 20:09:12.614 - 00:02:32 - 反观
2022-10-21 20:09:12.615 - 00:02:32 - 没功力了
2022-10-21 20:09:15.197 - 00:02:35 - 天哥敬业的，不像某只狗
2022-10-21 20:09:15.680 - 00:02:35 - 燃尽了，化作雪白的灰
2022-10-21 20:09:17.179 - 00:02:37 - 右边这个狗怎么这么普通
2022-10-21 20:09:17.696 - 00:02:37 - 这女的好像底特律变人里那个女保姆
2022-10-21 20:09:19.710 - 00:02:39 - 也好，韦天剧透起来没素质的
2022-10-21 20:09:19.711 - 00:02:39 - 早上起来就看到天哥在播
2022-10-21 20:09:23.739 - 00:02:43 - 小狗废了
2022-10-21 20:09:26.796 - 00:02:46 - 被吸欧弟吸干了
2022-10-21 20:09:27.330 - 00:02:47 - 失去能量了
2022-10-21 20:09:29.332 - 00:02:49 - 哦
2022-10-21 20:09:36.911 - 00:02:56 - 又来狼人杀啊
2022-10-21 20:09:37.408 - 00:02:57 - 该奖励了
2022-10-21 20:09:40.449 - 00:03:00 - xiudi
2022-10-21 20:09:41.983 - 00:03:02 - 我不好说，感觉有点问题
2022-10-21 20:09:42.491 - 00:03:02 - 哦
2022-10-21 20:09:43.494 - 00:03:03 - 诋毁好厚米？
2022-10-21 20:09:44.502 - 00:03:04 - 谁是内鬼
2022-10-21 20:09:47.564 - 00:03:07 - 您真的是会怀疑好人
2022-10-21 20:09:48.541 - 00:03:08 - COD这作的剧情还可以啊
2022-10-21 20:09:48.541 - 00:03:08 - no russian
2022-10-21 20:09:52.109 - 00:03:12 - 米斯特奎恩 说话
2022-10-21 20:09:52.618 - 00:03:12 - 这作剧情别深究，突突突就完事了
2022-10-21 20:09:56.156 - 00:03:16 - 丁鼠鼠真的很明感
2022-10-21 20:09:58.209 - 00:03:18 - 电影感
2022-10-21 20:10:05.277 - 00:03:25 - 我草呢？，头上草呢
2022-10-21 20:10:06.801 - 00:03:26 - 好憨
2022-10-21 20:10:18.992 - 00:03:39 - 这作剧情最好的点是可以无视剧情
2022-10-21 20:10:26.573 - 00:03:46 - 不是说全系列吗
2022-10-21 20:10:26.574 - 00:03:46 - 肥皂要进去捡肥皂
2022-10-21 20:10:27.596 - 00:03:47 - 确实
2022-10-21 20:10:32.657 - 00:03:52 - 其实
2022-10-21 20:10:33.654 - 00:03:53 - 毕竟年货
2022-10-21 20:10:33.655 - 00:03:53 - 恐虐评价：杀！
2022-10-21 20:10:34.193 - 00:03:54 - 来看“我真的会谢”了
2022-10-21 20:10:34.640 - 00:03:54 - 确实
2022-10-21 20:10:36.212 - 00:03:56 - 反正主旋律片就那样
2022-10-21 20:10:36.678 - 00:03:56 - 美剧是这样的
2022-10-21 20:10:38.201 - 00:03:58 - 我只知道，我要大开杀戒了
2022-10-21 20:10:43.240 - 00:04:03 - 这剧情逻辑就当不存在了，美军都让你不要伤平民了还管啥逻辑
2022-10-21 20:10:43.851 - 00:04:03 - 肥皂这个烟熏眼反而感觉有点基
2022-10-21 20:10:44.794 - 00:04:04 - 确实很像内鬼
2022-10-21 20:10:46.327 - 00:04:06 - 商业电影本来也就这样
2022-10-21 20:10:47.824 - 00:04:07 - 剧情还得看T组
2022-10-21 20:10:48.383 - 00:04:08 - 这额头
2022-10-21 20:10:49.332 - 00:04:09 - 恐虐：要啥剧情，开杀
2022-10-21 20:10:53.891 - 00:04:13 - 杀杀杀
2022-10-21 20:10:54.390 - 00:04:14 - 昂撒柜子也就这水平
2022-10-21 20:10:54.893 - 00:04:14 - 正确的
2022-10-21 20:10:58.942 - 00:04:18 - 兄弟秦
2022-10-21 20:11:03.000 - 00:04:23 - 兄弟秦
2022-10-21 20:11:04.049 - 00:04:24 - 工地情
2022-10-21 20:11:04.552 - 00:04:24 - 别急
2022-10-21 20:11:05.564 - 00:04:25 - 同事罢了
2022-10-21 20:11:06.590 - 00:04:26 - 确实，得合张合影
2022-10-21 20:11:07.573 - 00:04:27 - 狗 给我拿包爆米花 手太闲了
2022-10-21 20:11:08.568 - 00:04:28 - 现在讲究杀杀杀
2022-10-21 20:11:08.569 - 00:04:28 - 晚点你就知道了
2022-10-21 20:11:09.059 - 00:04:29 - 现在同事关系罢了
2022-10-21 20:11:09.591 - 00:04:29 - 无秦了
2022-10-21 20:11:10.633 - 00:04:30 - 幽灵少了一点神秘感啊
2022-10-21 20:11:10.633 - 00:04:30 - 这关奎恩哥绝对整蛊
2022-10-21 20:11:11.104 - 00:04:31 - 什么年代了，还在传统兄弟情
2022-10-21 20:11:11.105 - 00:04:31 - 大家都是点头之交
2022-10-21 20:11:12.170 - 00:04:32 - 在后面
